"subid","block","cond","feedback","choice","trial_perC2","probab","delay","ACC"
2302,1,1,-1,2,1,1,0,0
2302,1,1,1,1,2,1,6,1
2302,1,1,-1,2,3,1,10,0
2302,1,1,-1,2,4,1,7,0
2302,1,1,-1,2,5,1,0,0
2302,1,1,1,1,6,1,3,1
2302,1,1,1,1,7,1,3,1
2302,1,1,1,1,8,1,1,1
2302,1,1,1,1,9,1,4,1
2302,1,1,-1,2,10,1,4,0
2302,1,1,1,1,11,1,5,1
2302,1,1,1,1,12,1,3,1
2302,1,1,-1,2,13,1,17,0
2302,1,1,1,1,14,1,12,1
2302,1,1,1,1,15,1,4,1
2302,1,1,-1,2,16,1,1,0
2302,1,1,1,1,17,1,5,1
2302,1,1,1,1,18,1,3,1
2302,1,1,1,1,19,1,5,1
2302,1,1,1,1,20,1,9,1
2302,1,1,-1,2,21,1,7,0
2302,1,1,1,1,22,1,3,1
2302,1,1,1,1,23,1,1,1
2302,1,1,1,1,24,1,0,1
2302,1,2,-1,1,1,1,0,0
2302,1,2,-1,1,2,1,1,0
2302,1,2,1,2,3,1,6,1
2302,1,2,1,2,4,1,0,1
2302,1,2,1,2,5,1,2,1
2302,1,2,1,2,6,1,1,1
2302,1,2,1,2,7,1,8,1
2302,1,2,1,2,8,1,8,1
2302,1,2,1,2,9,1,13,1
2302,1,2,1,2,10,1,3,1
2302,1,2,-1,1,11,1,3,0
2302,1,2,1,2,12,1,11,1
2302,1,2,1,2,13,1,6,1
2302,1,2,1,2,14,1,14,1
2302,1,2,1,2,15,1,0,1
2302,1,2,1,2,16,1,7,1
2302,1,2,1,2,17,1,9,1
2302,1,2,1,2,18,1,0,1
2302,1,2,1,2,19,1,7,1
2302,1,2,1,2,20,1,2,1
2302,1,2,1,2,21,1,1,1
2302,1,2,1,2,22,1,3,1
2302,1,2,1,2,23,1,3,1
2302,1,3,-1,1,1,2,3,1
2302,1,3,-1,2,2,2,1,0
2302,1,3,1,1,3,2,10,1
2302,1,3,-1,2,4,2,17,0
2302,1,3,-1,1,5,2,0,1
2302,1,3,-1,2,6,2,1,0
2302,1,3,-1,2,7,2,3,0
2302,1,3,1,2,8,2,14,0
2302,1,3,-1,2,9,2,0,0
2302,1,3,-1,2,10,2,1,0
2302,1,3,-1,2,11,2,2,0
2302,1,3,1,1,12,2,4,1
2302,1,3,-1,2,13,2,4,0
2302,1,3,-1,2,14,2,6,0
2302,1,3,-1,2,15,2,8,0
2302,1,3,1,2,16,2,3,0
2302,1,3,-1,2,17,2,2,0
2302,1,3,1,2,18,2,3,0
2302,1,3,-1,2,19,2,0,0
2302,1,3,1,1,20,2,18,1
2302,1,3,1,1,21,2,13,1
2302,1,3,1,1,22,2,0,1
2302,1,4,1,2,1,2,0,1
2302,1,4,-1,1,2,2,3,0
2302,1,4,-1,1,3,2,6,0
2302,1,4,1,2,4,2,2,1
2302,1,4,-1,2,5,2,0,1
2302,1,4,1,2,6,2,7,1
2302,1,4,1,2,7,2,4,1
2302,1,4,1,1,8,2,1,0
2302,1,4,-1,1,9,2,6,0
2302,1,4,1,2,10,2,7,1
2302,1,4,-1,1,11,2,7,0
2302,1,4,1,2,12,2,3,1
2302,1,4,1,2,13,2,15,1
2302,1,4,-1,2,14,2,2,1
2302,1,4,1,2,15,2,1,1
2302,1,4,-1,2,16,2,4,1
2302,1,4,-1,1,17,2,4,0
2302,1,4,-1,1,18,2,12,0
2302,1,4,-1,1,19,2,0,0
2302,1,4,-1,2,20,2,2,1
2302,1,4,-1,1,21,2,5,0
2302,1,4,1,2,22,2,2,1
2302,1,4,-1,1,23,2,11,0
2302,1,4,1,2,24,2,0,1
2302,1,5,1,1,1,3,0,1
2302,1,5,1,2,2,3,7,0
2302,1,5,1,2,3,3,1,0
2302,1,5,1,1,4,3,10,1
2302,1,5,1,1,5,3,0,1
2302,1,5,1,1,6,3,14,1
2302,1,5,1,2,7,3,15,0
2302,1,5,-1,2,8,3,4,0
2302,1,5,-1,1,9,3,0,1
2302,1,5,-1,2,10,3,1,0
2302,1,5,1,2,11,3,0,0
2302,1,5,-1,2,12,3,3,0
2302,1,6,-1,2,1,3,0,1
2302,1,6,-1,1,2,3,10,0
2302,1,6,-1,2,3,3,2,1
2302,1,6,-1,2,4,3,5,1
2302,1,6,-1,1,5,3,1,0
2302,1,6,-1,1,6,3,13,0
2302,1,6,-1,2,7,3,3,1
2302,1,6,-1,2,8,3,0,1
2302,1,6,-1,1,9,3,5,0
2302,1,6,-1,1,10,3,2,0
2302,1,6,1,1,11,3,1,0
2302,1,6,1,1,12,3,10,0
2302,1,6,-1,1,13,3,14,0
2302,1,6,-1,2,14,3,0,1
2302,1,6,1,2,15,3,3,1
2302,1,6,-1,2,16,3,6,1
2302,1,6,-1,1,17,3,5,0
2302,1,6,-1,2,18,3,4,1
2302,1,6,-1,1,19,3,3,0
2302,1,6,-1,1,20,3,5,0
2302,1,6,-1,2,21,3,0,1
2302,1,6,-1,2,22,3,5,1
2302,1,6,1,1,23,3,2,0
2302,1,0,0,-1,0,0,-1,-1
2302,1,0,0,-1,0,0,-1,-1
2302,1,0,0,-1,0,0,-1,-1
2302,1,0,0,-1,0,0,-1,-1
2302,1,0,0,-1,0,0,-1,-1
2302,2,1,-1,2,1,1,0,0
2302,2,1,1,1,2,1,5,1
2302,2,1,1,1,3,1,7,1
2302,2,1,1,1,4,1,5,1
2302,2,1,1,1,5,1,2,1
2302,2,1,1,1,6,1,2,1
2302,2,1,1,1,7,1,0,1
2302,2,1,-1,2,8,1,4,0
2302,2,1,1,1,9,1,5,1
2302,2,1,1,1,10,1,9,1
2302,2,1,1,1,11,1,1,1
2302,2,1,1,1,12,1,1,1
2302,2,1,1,1,13,1,4,1
2302,2,1,1,1,14,1,5,1
2302,2,1,1,1,15,1,1,1
2302,2,1,1,1,16,1,1,1
2302,2,1,1,1,17,1,7,1
2302,2,1,1,1,18,1,0,1
2302,2,1,1,1,19,1,2,1
2302,2,1,1,1,20,1,18,1
2302,2,1,1,1,21,1,7,1
2302,2,1,1,1,22,1,2,1
2302,2,1,-1,2,23,1,1,0
2302,2,1,1,1,24,1,9,1
2302,2,1,1,1,25,1,1,1
2302,2,2,1,2,1,1,0,1
2302,2,2,-1,1,2,1,2,0
2302,2,2,-1,1,3,1,6,0
2302,2,2,-1,1,4,1,7,0
2302,2,2,1,2,5,1,5,1
2302,2,2,-1,1,6,1,4,0
2302,2,2,-1,1,7,1,23,0
2302,2,2,-1,1,8,1,1,0
2302,2,2,1,2,9,1,1,1
2302,2,2,1,2,10,1,2,1
2302,2,2,1,2,11,1,0,1
2302,2,2,1,2,12,1,1,1
2302,2,2,1,2,13,1,4,1
2302,2,2,-1,1,14,1,7,0
2302,2,2,1,2,15,1,5,1
2302,2,2,1,2,16,1,11,1
2302,2,2,-1,1,17,1,2,0
2302,2,2,1,2,18,1,4,1
2302,2,2,1,2,19,1,12,1
2302,2,2,1,2,20,1,4,1
2302,2,2,1,2,21,1,8,1
2302,2,2,1,2,22,1,1,1
2302,2,2,1,2,23,1,1,1
2302,2,3,-1,2,1,2,0,0
2302,2,3,-1,1,2,2,11,1
2302,2,3,-1,2,3,2,1,0
2302,2,3,-1,2,4,2,10,0
2302,2,3,-1,2,5,2,2,0
2302,2,3,-1,2,6,2,1,0
2302,2,3,-1,2,7,2,2,0
2302,2,3,-1,2,8,2,1,0
2302,2,3,1,2,9,2,3,0
2302,2,3,-1,2,10,2,12,0
2302,2,3,1,2,11,2,4,0
2302,2,3,1,1,12,2,1,1
2302,2,3,-1,2,13,2,12,0
2302,2,3,-1,2,14,2,7,0
2302,2,3,-1,2,15,2,13,0
2302,2,3,1,2,16,2,3,0
2302,2,3,-1,2,17,2,7,0
2302,2,3,-1,1,18,2,3,1
2302,2,3,-1,2,19,2,8,0
2302,2,3,-1,2,20,2,6,0
2302,2,3,1,1,21,2,0,1
2302,2,3,-1,2,22,2,3,0
2302,2,3,1,1,23,2,1,1
2302,2,3,1,1,24,2,8,1
2302,2,4,-1,1,1,2,0,0
2302,2,4,1,2,2,2,0,1
2302,2,4,-1,1,3,2,2,0
2302,2,4,-1,1,4,2,3,0
2302,2,4,-1,1,5,2,2,0
2302,2,4,-1,1,6,2,4,0
2302,2,4,-1,1,7,2,11,0
2302,2,4,-1,2,8,2,8,1
2302,2,4,-1,1,9,2,10,0
2302,2,4,1,2,10,2,18,1
2302,2,4,1,2,11,2,7,1
2302,2,4,1,2,12,2,0,1
2302,2,4,1,2,13,2,4,1
2302,2,4,1,2,14,2,5,1
2302,2,4,-1,2,15,2,3,1
2302,2,4,1,2,16,2,7,1
2302,2,4,1,2,17,2,0,1
2302,2,4,1,2,18,2,5,1
2302,2,4,-1,2,19,2,2,1
2302,2,4,-1,2,20,2,11,1
2302,2,4,1,2,21,2,3,1
2302,2,5,-1,2,1,3,0,0
2302,2,5,1,1,2,3,6,1
2302,2,5,-1,1,3,3,0,1
2302,2,5,1,2,4,3,9,0
2302,2,5,-1,2,5,3,1,0
2302,2,5,1,2,6,3,11,0
2302,2,5,1,2,7,3,6,0
2302,2,5,-1,2,8,3,4,0
2302,2,5,-1,2,9,3,7,0
2302,2,5,-1,2,10,3,13,0
2302,2,5,1,1,11,3,1,1
2302,2,5,-1,1,12,3,2,1
2302,2,6,-1,2,1,3,1,1
2302,2,6,-1,2,2,3,2,1
2302,2,6,-1,1,3,3,0,0
2302,2,6,-1,2,4,3,12,1
2302,2,6,1,2,5,3,10,1
2302,2,6,-1,2,6,3,6,1
2302,2,6,1,2,7,3,5,1
2302,2,6,-1,2,8,3,2,1
2302,2,6,-1,2,9,3,2,1
2302,2,6,-1,2,10,3,1,1
2302,2,6,1,2,11,3,2,1
2302,2,6,1,2,12,3,7,1
2302,2,6,1,1,13,3,15,0
2302,2,6,1,2,14,3,5,1
2302,2,6,1,1,15,3,2,0
2302,2,6,-1,2,16,3,3,1
2302,2,6,-1,1,17,3,0,0
2302,2,6,1,1,18,3,8,0
2302,2,6,1,1,19,3,1,0
2302,2,6,-1,1,20,3,6,0
2302,2,6,-1,1,21,3,0,0
2302,2,6,-1,2,22,3,17,1
2302,2,6,1,2,23,3,4,1
2302,2,0,0,-1,0,0,-1,-1
2302,2,0,0,-1,0,0,-1,-1
2302,2,0,0,-1,0,0,-1,-1
2302,2,0,0,-1,0,0,-1,-1
2302,2,0,0,-1,0,0,-1,-1
2302,3,1,1,1,1,1,0,1
2302,3,1,1,1,2,1,1,1
2302,3,1,1,1,3,1,5,1
2302,3,1,1,1,4,1,12,1
2302,3,1,-1,2,5,1,1,0
2302,3,1,1,1,6,1,2,1
2302,3,1,-1,2,7,1,1,0
2302,3,1,1,1,8,1,15,1
2302,3,1,1,1,9,1,10,1
2302,3,1,-1,2,10,1,0,0
2302,3,1,1,1,11,1,2,1
2302,3,1,1,1,12,1,5,1
2302,3,1,-1,2,13,1,7,0
2302,3,1,-1,2,14,1,10,0
2302,3,1,1,1,15,1,2,1
2302,3,1,-1,2,16,1,10,0
2302,3,1,1,1,17,1,5,1
2302,3,1,-1,2,18,1,3,0
2302,3,1,-1,2,19,1,7,0
2302,3,1,-1,2,20,1,9,0
2302,3,1,1,1,21,1,6,1
2302,3,1,1,1,22,1,0,1
2302,3,1,-1,2,23,1,1,0
2302,3,1,1,1,24,1,1,1
2302,3,2,1,2,1,1,0,1
2302,3,2,1,2,2,1,5,1
2302,3,2,-1,1,3,1,4,0
2302,3,2,1,2,4,1,0,1
2302,3,2,-1,1,5,1,1,0
2302,3,2,-1,1,6,1,11,0
2302,3,2,-1,1,7,1,1,0
2302,3,2,1,2,8,1,1,1
2302,3,2,1,2,9,1,2,1
2302,3,2,1,2,10,1,2,1
2302,3,2,1,2,11,1,0,1
2302,3,2,-1,1,12,1,25,0
2302,3,2,1,2,13,1,7,1
2302,3,2,1,2,14,1,3,1
2302,3,2,1,2,15,1,4,1
2302,3,2,1,2,16,1,0,1
2302,3,2,1,2,17,1,4,1
2302,3,2,-1,1,18,1,2,0
2302,3,2,-1,1,19,1,4,0
2302,3,2,-1,1,20,1,3,0
2302,3,2,1,2,21,1,3,1
2302,3,2,1,2,22,1,5,1
2302,3,2,1,2,23,1,11,1
2302,3,3,1,1,1,2,0,1
2302,3,3,-1,1,2,2,0,1
2302,3,3,-1,1,3,2,3,1
2302,3,3,1,1,4,2,0,1
2302,3,3,-1,2,5,2,22,0
2302,3,3,-1,1,6,2,10,1
2302,3,3,1,1,7,2,1,1
2302,3,3,1,1,8,2,3,1
2302,3,3,1,1,9,2,4,1
2302,3,3,1,1,10,2,2,1
2302,3,3,1,1,11,2,1,1
2302,3,3,-1,2,12,2,0,0
2302,3,3,-1,2,13,2,9,0
2302,3,3,-1,2,14,2,0,0
2302,3,3,1,2,15,2,1,0
2302,3,3,1,2,16,2,11,0
2302,3,3,-1,2,17,2,7,0
2302,3,3,1,1,18,2,2,1
2302,3,3,1,1,19,2,0,1
2302,3,3,1,1,20,2,17,1
2302,3,3,-1,2,21,2,6,0
2302,3,3,-1,2,22,2,0,0
2302,3,3,-1,2,23,2,5,0
2302,3,3,-1,2,24,2,7,0
2302,3,4,1,2,1,2,0,1
2302,3,4,-1,1,2,2,4,0
2302,3,4,-1,1,3,2,2,0
2302,3,4,1,1,4,2,12,0
2302,3,4,-1,1,5,2,2,0
2302,3,4,-1,1,6,2,10,0
2302,3,4,1,1,7,2,6,0
2302,3,4,-1,1,8,2,0,0
2302,3,4,1,2,9,2,2,1
2302,3,4,-1,1,10,2,4,0
2302,3,4,-1,1,11,2,3,0
2302,3,4,1,2,12,2,10,1
2302,3,4,-1,2,13,2,6,1
2302,3,4,-1,1,14,2,0,0
2302,3,4,-1,1,15,2,1,0
2302,3,4,-1,1,16,2,10,0
2302,3,4,-1,1,17,2,12,0
2302,3,4,-1,1,18,2,8,0
2302,3,4,-1,1,19,2,0,0
2302,3,4,1,2,20,2,8,1
2302,3,4,-1,2,21,2,12,1
2302,3,4,1,2,22,2,0,1
2302,3,4,-1,1,23,2,1,0
2302,3,4,1,1,24,2,0,0
2302,3,4,-1,1,25,2,1,0
2302,3,5,-1,2,1,3,0,0
2302,3,5,1,2,2,3,17,0
2302,3,5,1,1,3,3,0,1
2302,3,5,-1,2,4,3,7,0
2302,3,5,1,1,5,3,1,1
2302,3,5,1,1,6,3,0,1
2302,3,5,-1,2,7,3,3,0
2302,3,5,-1,1,8,3,13,1
2302,3,5,1,2,9,3,10,0
2302,3,5,-1,1,10,3,2,1
2302,3,5,1,2,11,3,2,0
2302,3,5,-1,2,12,3,5,0
2302,3,6,-1,2,1,3,0,1
2302,3,6,-1,2,2,3,2,1
2302,3,6,1,1,3,3,0,0
2302,3,6,1,2,4,3,4,1
2302,3,6,-1,2,5,3,5,1
2302,3,6,-1,1,6,3,9,0
2302,3,6,-1,2,7,3,7,1
2302,3,6,1,2,8,3,5,1
2302,3,6,1,2,9,3,8,1
2302,3,6,1,2,10,3,3,1
2302,3,6,-1,2,11,3,0,1
2302,3,6,-1,2,12,3,20,1
2302,3,6,-1,1,13,3,6,0
2302,3,6,1,1,14,3,9,0
2302,3,6,1,1,15,3,1,0
2302,3,6,-1,1,16,3,1,0
2302,3,6,1,2,17,3,6,1
2302,3,6,-1,1,18,3,8,0
2302,3,6,-1,2,19,3,5,1
2302,3,6,-1,2,20,3,4,1
2302,3,6,-1,1,21,3,0,0
2302,3,6,1,2,22,3,12,1
2302,3,0,0,-1,0,0,-1,-1
2302,3,0,0,-1,0,0,-1,-1
2302,3,0,0,-1,0,0,-1,-1
2302,4,1,-1,2,1,1,0,0
2302,4,1,1,1,2,1,1,1
2302,4,1,1,1,3,1,5,1
2302,4,1,-1,2,4,1,6,0
2302,4,1,1,1,5,1,6,1
2302,4,1,-1,2,6,1,2,0
2302,4,1,-1,2,7,1,1,0
2302,4,1,1,1,8,1,7,1
2302,4,1,1,1,9,1,2,1
2302,4,1,1,1,10,1,18,1
2302,4,1,1,1,11,1,1,1
2302,4,1,-1,2,12,1,3,0
2302,4,1,-1,2,13,1,11,0
2302,4,1,1,1,14,1,10,1
2302,4,1,-1,2,15,1,3,0
2302,4,1,-1,2,16,1,5,0
2302,4,1,1,1,17,1,3,1
2302,4,1,-1,2,18,1,12,0
2302,4,1,-1,2,19,1,5,0
2302,4,1,1,1,20,1,5,1
2302,4,1,1,1,21,1,0,1
2302,4,1,1,1,22,1,1,1
2302,4,1,-1,2,23,1,2,0
2302,4,1,1,1,24,1,4,1
2302,4,2,1,2,1,1,2,1
2302,4,2,-1,1,2,1,1,0
2302,4,2,1,2,3,1,3,1
2302,4,2,-1,1,4,1,2,0
2302,4,2,-1,1,5,1,5,0
2302,4,2,1,2,6,1,3,1
2302,4,2,1,2,7,1,21,1
2302,4,2,-1,1,8,1,10,0
2302,4,2,-1,1,9,1,1,0
2302,4,2,1,2,10,1,4,1
2302,4,2,1,2,11,1,0,1
2302,4,2,1,2,12,1,3,1
2302,4,2,-1,1,13,1,7,0
2302,4,2,1,2,14,1,12,1
2302,4,2,1,2,15,1,1,1
2302,4,2,-1,1,16,1,0,0
2302,4,2,-1,1,17,1,26,0
2302,4,2,-1,1,18,1,1,0
2302,4,2,1,2,19,1,2,1
2302,4,2,1,2,20,1,3,1
2302,4,2,-1,1,21,1,13,0
2302,4,2,-1,1,22,1,1,0
2302,4,2,-1,1,23,1,2,0
2302,4,3,-1,2,1,2,0,0
2302,4,3,-1,1,2,2,1,1
2302,4,3,1,1,3,2,6,1
2302,4,3,-1,2,4,2,9,0
2302,4,3,1,1,5,2,9,1
2302,4,3,-1,1,6,2,5,1
2302,4,3,-1,2,7,2,4,0
2302,4,3,-1,2,8,2,1,0
2302,4,3,1,1,9,2,1,1
2302,4,3,-1,2,10,2,3,0
2302,4,3,1,1,11,2,1,1
2302,4,3,-1,2,12,2,7,0
2302,4,3,-1,1,13,2,6,1
2302,4,3,1,2,14,2,10,0
2302,4,3,-1,2,15,2,1,0
2302,4,3,-1,2,16,2,8,0
2302,4,3,-1,2,17,2,5,0
2302,4,3,-1,2,18,2,8,0
2302,4,3,-1,2,19,2,0,0
2302,4,3,1,1,20,2,1,1
2302,4,3,-1,2,21,2,0,0
2302,4,3,-1,1,22,2,4,1
2302,4,3,-1,2,23,2,12,0
2302,4,3,-1,2,24,2,11,0
2302,4,4,1,2,1,2,0,1
2302,4,4,-1,1,2,2,4,0
2302,4,4,-1,2,3,2,6,1
2302,4,4,-1,1,4,2,2,0
2302,4,4,-1,1,5,2,6,0
2302,4,4,1,2,6,2,3,1
2302,4,4,-1,1,7,2,4,0
2302,4,4,-1,1,8,2,1,0
2302,4,4,1,2,9,2,3,1
2302,4,4,1,2,10,2,14,1
2302,4,4,-1,2,11,2,0,1
2302,4,4,1,2,12,2,2,1
2302,4,4,1,2,13,2,7,1
2302,4,4,-1,1,14,2,1,0
2302,4,4,1,2,15,2,2,1
2302,4,4,1,2,16,2,0,1
2302,4,4,-1,1,17,2,6,0
2302,4,4,1,2,18,2,9,1
2302,4,4,1,2,19,2,6,1
2302,4,4,-1,1,20,2,4,0
2302,4,4,-1,2,21,2,13,1
2302,4,4,-1,2,22,2,1,1
2302,4,4,-1,1,23,2,0,0
2302,4,4,-1,1,24,2,3,0
2302,4,5,1,2,1,3,0,0
2302,4,5,1,2,2,3,2,0
2302,4,5,-1,2,3,3,2,0
2302,4,5,1,1,4,3,3,1
2302,4,5,1,1,5,3,2,1
2302,4,5,1,1,6,3,2,1
2302,4,5,1,2,7,3,8,0
2302,4,5,-1,2,8,3,5,0
2302,4,5,-1,1,9,3,1,1
2302,4,5,1,2,10,3,5,0
2302,4,5,-1,2,11,3,6,0
2302,4,6,-1,2,1,3,0,1
2302,4,6,1,2,2,3,5,1
2302,4,6,1,2,3,3,3,1
2302,4,6,1,2,4,3,1,1
2302,4,6,-1,1,5,3,0,0
2302,4,6,1,1,6,3,12,0
2302,4,6,-1,2,7,3,1,1
2302,4,6,1,1,8,3,4,0
2302,4,6,1,2,9,3,8,1
2302,4,6,1,1,10,3,17,0
2302,4,6,-1,2,11,3,3,1
2302,4,6,1,2,12,3,3,1
2302,4,6,1,2,13,3,16,1
2302,4,6,-1,2,14,3,1,1
2302,4,6,-1,1,15,3,1,0
2302,4,6,-1,1,16,3,1,0
2302,4,6,1,2,17,3,3,1
2302,4,6,1,1,18,3,1,0
2302,4,6,-1,2,19,3,0,1
2302,4,6,1,1,20,3,2,0
2302,4,6,-1,2,21,3,5,1
2302,4,6,1,1,22,3,3,0
2302,4,0,0,-1,0,0,-1,-1
2302,4,0,0,-1,0,0,-1,-1
2302,4,0,0,-1,0,0,-1,-1
2302,4,0,0,-1,0,0,-1,-1
2302,4,0,0,-1,0,0,-1,-1
2302,5,1,1,1,1,1,0,1
2302,5,1,1,1,2,1,2,1
2302,5,1,1,1,3,1,3,1
2302,5,1,-1,2,4,1,3,0
2302,5,1,-1,2,5,1,13,0
2302,5,1,1,1,6,1,2,1
2302,5,1,1,1,7,1,1,1
2302,5,1,-1,2,8,1,10,0
2302,5,1,-1,2,9,1,3,0
2302,5,1,-1,2,10,1,4,0
2302,5,1,-1,2,11,1,11,0
2302,5,1,1,1,12,1,5,1
2302,5,1,-1,2,13,1,1,0
2302,5,1,-1,2,14,1,11,0
2302,5,1,1,1,15,1,8,1
2302,5,1,1,1,16,1,2,1
2302,5,1,1,1,17,1,0,1
2302,5,1,-1,2,18,1,6,0
2302,5,1,1,1,19,1,1,1
2302,5,1,-1,2,20,1,3,0
2302,5,1,1,1,21,1,7,1
2302,5,1,-1,2,22,1,3,0
2302,5,1,1,1,23,1,8,1
2302,5,1,-1,2,24,1,4,0
2302,5,1,-1,2,25,1,2,0
2302,5,2,-1,1,1,1,8,0
2302,5,2,1,2,2,1,2,1
2302,5,2,1,2,3,1,0,1
2302,5,2,-1,1,4,1,33,0
2302,5,2,-1,1,5,1,3,0
2302,5,2,1,2,6,1,3,1
2302,5,2,-1,1,7,1,1,0
2302,5,2,1,2,8,1,0,1
2302,5,2,-1,1,9,1,1,0
2302,5,2,1,2,10,1,1,1
2302,5,2,1,2,11,1,7,1
2302,5,2,-1,1,12,1,0,0
2302,5,2,1,2,13,1,7,1
2302,5,2,-1,1,14,1,2,0
2302,5,2,-1,1,15,1,1,0
2302,5,2,1,2,16,1,3,1
2302,5,2,1,2,17,1,3,1
2302,5,2,-1,1,18,1,7,0
2302,5,2,1,2,19,1,0,1
2302,5,2,-1,1,20,1,5,0
2302,5,2,1,2,21,1,12,1
2302,5,2,1,2,22,1,5,1
2302,5,2,1,2,23,1,1,1
2302,5,3,1,1,1,2,0,1
2302,5,3,-1,2,2,2,0,0
2302,5,3,-1,2,3,2,5,0
2302,5,3,-1,1,4,2,1,1
2302,5,3,-1,2,5,2,3,0
2302,5,3,1,1,6,2,3,1
2302,5,3,1,1,7,2,4,1
2302,5,3,1,1,8,2,1,1
2302,5,3,1,1,9,2,0,1
2302,5,3,1,1,10,2,1,1
2302,5,3,-1,1,11,2,11,1
2302,5,3,1,2,12,2,7,0
2302,5,3,-1,2,13,2,14,0
2302,5,3,-1,2,14,2,16,0
2302,5,3,-1,2,15,2,9,0
2302,5,3,1,1,16,2,2,1
2302,5,3,1,1,17,2,2,1
2302,5,3,-1,2,18,2,6,0
2302,5,3,-1,2,19,2,13,0
2302,5,3,-1,1,20,2,1,1
2302,5,3,-1,1,21,2,2,1
2302,5,3,-1,2,22,2,8,0
2302,5,3,-1,2,23,2,2,0
2302,5,3,1,1,24,2,1,1
2302,5,4,1,1,1,2,2,0
2302,5,4,-1,1,2,2,1,0
2302,5,4,-1,2,3,2,2,1
2302,5,4,-1,1,4,2,6,0
2302,5,4,-1,1,5,2,4,0
2302,5,4,-1,1,6,2,0,0
2302,5,4,-1,1,7,2,4,0
2302,5,4,1,2,8,2,0,1
2302,5,4,1,2,9,2,2,1
2302,5,4,1,2,10,2,7,1
2302,5,4,1,2,11,2,4,1
2302,5,4,-1,2,12,2,6,1
2302,5,4,1,2,13,2,1,1
2302,5,4,1,1,14,2,5,0
2302,5,4,1,2,15,2,7,1
2302,5,4,-1,1,16,2,3,0
2302,5,4,1,2,17,2,3,1
2302,5,4,1,2,18,2,18,1
2302,5,4,1,2,19,2,3,1
2302,5,4,1,2,20,2,7,1
2302,5,4,-1,2,21,2,0,1
2302,5,4,1,2,22,2,2,1
2302,5,5,-1,1,1,3,0,1
2302,5,5,-1,2,2,3,3,0
2302,5,5,1,1,3,3,13,1
2302,5,5,-1,2,4,3,15,0
2302,5,5,1,1,5,3,1,1
2302,5,5,-1,1,6,3,2,1
2302,5,5,1,1,7,3,5,1
2302,5,5,-1,1,8,3,5,1
2302,5,5,-1,2,9,3,5,0
2302,5,5,-1,1,10,3,4,1
2302,5,5,-1,1,11,3,5,1
2302,5,5,-1,2,12,3,1,0
2302,5,6,1,1,1,3,0,0
2302,5,6,1,1,2,3,0,0
2302,5,6,1,1,3,3,13,0
2302,5,6,-1,1,4,3,1,0
2302,5,6,1,1,5,3,4,0
2302,5,6,1,1,6,3,2,0
2302,5,6,-1,1,7,3,8,0
2302,5,6,-1,1,8,3,10,0
2302,5,6,-1,2,9,3,0,1
2302,5,6,-1,2,10,3,5,1
2302,5,6,1,2,11,3,4,1
2302,5,6,-1,1,12,3,3,0
2302,5,6,1,1,13,3,7,0
2302,5,6,-1,2,14,3,4,1
2302,5,6,-1,1,15,3,1,0
2302,5,6,-1,2,16,3,18,1
2302,5,6,-1,2,17,3,11,1
2302,5,6,-1,2,18,3,1,1
2302,5,6,-1,1,19,3,4,0
2302,5,6,1,1,20,3,5,0
2302,5,6,-1,1,21,3,12,0
2302,5,6,-1,1,22,3,1,0
2302,5,6,1,2,23,3,3,1
2302,5,6,1,2,24,3,0,1
2302,5,0,0,-1,0,0,-1,-1
2302,5,0,0,-1,0,0,-1,-1
2302,5,0,0,-1,0,0,-1,-1
2303,1,1,1,1,1,1,0,1
2303,1,1,1,1,2,1,8,1
2303,1,1,1,1,3,1,13,1
2303,1,1,-1,2,4,1,5,0
2303,1,1,1,1,5,1,2,1
2303,1,1,1,1,6,1,8,1
2303,1,1,1,1,7,1,19,1
2303,1,1,1,1,8,1,4,1
2303,1,1,1,1,9,1,2,1
2303,1,1,1,1,10,1,0,1
2303,1,1,1,1,11,1,1,1
2303,1,1,1,1,12,1,5,1
2303,1,1,1,1,13,1,3,1
2303,1,1,1,1,14,1,5,1
2303,1,1,1,1,15,1,19,1
2303,1,1,1,1,16,1,0,1
2303,1,1,1,1,17,1,2,1
2303,1,1,1,1,18,1,4,1
2303,1,1,1,1,19,1,6,1
2303,1,1,1,1,20,1,7,1
2303,1,1,1,1,21,1,0,1
2303,1,1,1,1,22,1,4,1
2303,1,1,1,1,23,1,6,1
2303,1,2,1,2,1,1,0,1
2303,1,2,-1,1,2,1,6,0
2303,1,2,1,2,3,1,3,1
2303,1,2,1,2,4,1,8,1
2303,1,2,1,2,5,1,0,1
2303,1,2,1,2,6,1,6,1
2303,1,2,1,2,7,1,2,1
2303,1,2,-1,1,8,1,1,0
2303,1,2,1,2,9,1,5,1
2303,1,2,1,2,10,1,0,1
2303,1,2,1,2,11,1,0,1
2303,1,2,1,2,12,1,8,1
2303,1,2,1,2,13,1,23,1
2303,1,2,1,2,14,1,2,1
2303,1,2,1,2,15,1,3,1
2303,1,2,1,2,16,1,5,1
2303,1,2,-1,1,17,1,0,0
2303,1,2,1,2,18,1,19,1
2303,1,2,1,2,19,1,5,1
2303,1,2,1,2,20,1,15,1
2303,1,2,1,2,21,1,0,1
2303,1,2,1,2,22,1,1,1
2303,1,2,1,2,23,1,1,1
2303,1,3,-1,2,1,2,0,0
2303,1,3,1,1,2,2,0,1
2303,1,3,1,2,3,2,3,0
